"ID","longitude","latitude"
"bur5270",-120.309298,38.277518
"cbo16612",-122.250823,38.075588
"cbo219",-121.892409,37.529147
"cbo23616",-118.686912,36.160222
"gp16864",-120.93886,39.09487
"gp2649",-121.103668,38.545916
"gp6378",-118.755843,35.465852
"in:116312565",-120.90072,35.560038
"in:117042050",-122.343362,39.140617
"in:12250575",-121.429847,36.097481
"in:12349527",-118.538795,34.555255
"in:12733452",-118.996055,34.590235
"in:12935755",-118.946364,34.427473
"in:13537502",-119.507903,34.491763
"in:13979089",-118.704583,34.399863
"in:14166191",-122.795258,38.688553
"in:1488030",-122.258871,37.797757
"in:1532581",-118.650535,34.268036
"in:158491627",-118.474073,34.178757
"in:163041260",-119.812247,36.85035
"in:1641064",-117.924855,34.165765
"in:165449457",-118.660963,34.60362
"in:165455176",-119.745033,37.198025
"in:166089504",-122.500038,38.886893
"in:166327476",-121.00182,38.945332
"in:167100002",-121.552999,36.232329
"in:167134966",-121.072136,35.994263
"in:168606217",-122.08055,37.288063
"in:168746928",-121.682908,36.428105
"in:168935026",-121.516053,37.455917
"in:169687891",-118.423515,34.369598
"in:170212323",-121.168458,38.964303
"in:170726289",-120.713905,35.318172
"in:172434587",-121.744117,37.174403
"in:172457723",-121.755583,36.788697
"in:174946698",-118.64695,36.070103
"in:177887210",-121.537392,36.830922
"in:183583285",-117.857487,33.989024
"in:194714070",-118.45093,34.504799
"in:212641832",-122.068195,37.969614
"in:218574464",-119.291092,34.2881
"in:219437209",-118.386935,33.888575
"in:220179150",-121.450613,36.276212
"in:220369677",-121.502463,36.143161
"in:222129552",-118.708825,34.47067
"in:222562225",-121.738253,36.250099
"in:223007552",-119.956624,34.758011
"in:223265648",-122.072342,37.882388
"in:223275605",-120.776561,35.474497
"in:224076572",-121.853762,37.442538
"in:226811913",-120.58197,38.72283
"in:228114630",-119.785797,34.548642
"in:24749418",-116.980532,33.089181
"in:24755483",-117.244606,32.735669
"in:25088800",-121.307706,38.618922
"in:25126929",-122.476758,37.724572
"in:25169024",-118.955642,36.388713
"in:25592232",-118.454648,34.073885
"in:25913512",-117.454696,34.01234
"in:25917681",-118.502097,34.462272
"in:26473849",-121.697024,39.846755
"in:26709423",-121.764533,38.543862
"in:26979300",-122.510987,38.049598
"in:27063619",-121.69628,37.334203
"in:27194635",-118.656039,35.452192
"in:27550487",-121.545133,37.200065
"in:27793151",-119.696412,33.991725
"in:290845375",-121.567795,36.457855
"in:29188444",-118.654857,35.736692
"in:29643357",-119.226101,34.440003
"in:3209178",-122.577971,38.592878
"in:32861414",-118.324408,34.580689
"in:42690530",-118.865433,35.693539
"in:42694318",-120.686355,35.675367
"in:44058763",-121.749924,39.789124
"in:45005027",-122.12131,37.397506
"in:45133413",-118.716897,34.305211
"in:45828195",-121.593055,37.690545
"in:47884865",-122.010021,37.407431
"in:48087960",-118.921197,34.885883
"in:48189985",-121.97557,37.01375
"in:48748767",-122.919678,38.381203
"in:48855451",-122.346696,37.544985
"in:48959133",-121.251005,36.551188
"in:49154702",-122.013375,37.137414
"in:49512107",-121.937688,37.673392
"in:49799614",-121.418755,39.841414
"in:49984639",-121.425737,37.04775
"in:50090096",-118.83343,34.209082
"in:50281443",-121.951822,37.263085
"in:52076966",-119.913102,37.497549
"in:52543981",-120.215814,34.926995
"in:54492074",-121.823425,37.061314
"in:56213389",-121.847381,36.467326
"in:56815211",-121.846852,37.232899
"in:5990004",-118.287043,34.051806
"in:6146958",-119.301182,34.452139
"in:6426764",-121.977001,37.884437
"in:6543170",-122.674702,38.421664
"in:6615244",-118.337224,34.143411
"in:6856874",-120.081525,34.553751
"in:75278539",-118.197892,33.860278
"in:78805924",-119.382417,37.141011
"in:80958123",-120.007137,37.3961
"in:81937686",-118.004977,33.703782
"in:83225460",-118.305382,34.233567
"io103911",-120.130147,37.597038
"io128482",-121.848703,37.670608
"io131760",-122.044608,37.821075
"io14043",-121.168358,38.685512
"io155131",-121.415361,36.793865
"io31785",-121.75312,36.4688
"io39760",-120.580238,36.23257
"io39985",-118.836953,36.225583
"io4254",-118.681962,35.166888
"io64218",-121.516515,37.341263
"io67512",-122.576948,38.128717
"jgr12313",-121.2195,37.4789
"jgr12505",-121.5802,37.561997
"jgr9544",-121.793,38.0148
"mg109357",-121.761766,39.702177
"mg12343",-121.74577,37.61998
"mg140044",-122.134048,37.879494
"mg172922",-122.178379,37.853122
"mg208754",-121.759082,37.867461
"mg58154",-118.22162,34.287155
"mg65030",-121.990902,37.92363
"mg87610",-122.258742,37.946112
"mg87756",-122.203602,37.939912
"mg88751",-121.206396,38.812704
"mg91037",-121.684571,39.731291
"mu24020",-118.591,34.2866
"oe2249",-122.370061,37.284309
"oe3073",-122.128303,38.003672
"oe7110",-122.223118,37.886945
"po112248",-120.930094,36.317554
"po131338",-120.329419,35.478511
"po133250",-120.234359,34.613641
"po134561",-120.280733,34.728549
"po137180",-121.271983,36.914409
"po143292",-120.403143,35.282057
"po156358",-121.04078,36.64924
"po156376",-121.19788,36.14694
"po158379",-120.406317,34.561313
"po161424",-119.955934,34.547452
"po231963",-118.57793,34.35486
"po266078",-121.08032,35.834191
"po35466",-118.326434,34.315687
"po36783",-121.033469,38.221852
"po37773",-122.394524,39.02331
"po41768",-121.546598,39.520223
"po47050",-120.861041,36.359669
"po47071",-120.959644,36.406562
