"bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
9.98750019073486,13.1083335876465,43.9876937866211,640.259643554688,27.7000007629395,-2.09999990463257,29.8000011444092,3.64999985694885,18.1000003814697,18.3166675567627,3.09999990463257,1359,246,6,83.384033203125,671,30,42,671
15.375,13.5166664123535,50.8145332336426,494.439544677734,30.2000007629395,3.59999990463257,26.6000003814697,9.16666698455811,21.033332824707,21.1666660308838,9.16666698455811,672,144,1,94.6097564697266,374,7,11,374
15.3333330154419,13.716667175293,52.3536911010742,478.659729003906,30.1000003814697,3.90000009536743,26.2000007629395,10.3833332061768,20.8166656494141,21.3666667938232,9.71666717529297,592,122,2,90.6904602050781,314,8,13,312
13.2875003814697,13.9416666030884,45.7103805541992,625.383972167969,30.6000003814697,0.100000001490116,30.5,7.06666660308838,21.1333332061768,21.4333324432373,6.38333320617676,515,97,2,83.756462097168,271,12,22,257
14.4875001907349,13.9583330154419,44.8821029663086,646.540161132812,32.2999992370605,1.20000004768372,31.0999984741211,8.16666698455811,22.4833335876465,22.716667175293,7.15000009536743,1108,203,4,84.3994140625,557,22,32,551
16.5416660308838,14.9499998092651,45.7186546325684,650.813598632812,35.2999992370605,2.59999990463257,32.7000007629395,10.3000001907349,24.3833332061768,24.3833332061768,8.73333358764648,554,103,3,84.6456909179688,283,11,11,269
16.5416660308838,16.3333339691162,47.0701217651367,687.564331054688,35.9000015258789,1.20000004768372,34.7000007629395,9.71666717529297,25.1499996185303,25.1499996185303,8.66666698455811,312,60,1,80.5734558105469,163,8,8,144
13.2541666030884,14.8083333969116,57.8450508117676,384.982055664062,27.7000007629395,2.09999990463257,25.6000003814697,9.41666698455811,17.7333335876465,18.3166675567627,9.01666641235352,616,124,1,93.6973190307617,353,7,16,332
16.5541667938232,16.1749992370605,47.0203475952148,678.284790039062,36.2000007629395,1.79999995231628,34.4000015258789,8.73333263397217,24.9500007629395,24.9500007629395,8.73333263397217,495,105,1,90.8990325927734,270,8,8,270
13.1916666030884,13.9166660308838,53.9405670166016,427.459899902344,27.8999996185303,2.09999990463257,25.7999992370605,8.43333339691162,18.2333335876465,18.8333339691162,8.43333339691162,663,130,2,92.4852294921875,358,8,16,358
16.595832824707,14.0583333969116,47.9806594848633,569.930053710938,33,3.70000004768372,29.2999992370605,10.7833337783813,23.6166667938232,24.0833339691162,10.2666664123535,376,78,1,94.2741851806641,218,6,11,206
14.6958332061768,14.9416666030884,49.475715637207,575.517395019531,31.7000007629395,1.5,30.2000007629395,8.89999961853027,21.8166675567627,22.2666664123535,8.33333301544189,426,88,1,95.3265762329102,243,6,11,238
16.4208335876465,14.1416664123535,53.7705955505371,440.193450927734,30.8999996185303,4.59999990463257,26.2999992370605,11.8833332061768,21.5666656494141,22.2999992370605,11.5666666030884,459,102,0,100.224174499512,282,4,9,259
13.9333333969116,14.1666669845581,53.0586776733398,459.047088623047,29.2999992370605,2.59999990463257,26.6999988555908,9.31666660308838,19.4499988555908,20.1333332061768,9.05000019073486,490,103,1,98.5330581665039,290,5,11,279
17.3041667938232,15.3416662216187,53.2696762084961,478.342102050781,33.2000007629395,4.40000009536743,28.8000011444092,12.3833332061768,22.8999996185303,23.6000003814697,11.8666667938232,408,86,0,98.7566452026367,236,4,9,229
14.7875003814697,15.3916664123535,53.443286895752,507.669006347656,31.2999992370605,2.5,28.7999992370605,8.75,20.783332824707,21,8.75,1005,221,1,95.4050674438477,562,9,17,562
15.2083330154419,10.2166662216187,54.3439712524414,327.579528808594,25.1000003814697,6.30000019073486,18.7999992370605,11.8999996185303,18.5,18.8999996185303,10.9833335876465,582,121,1,91.6002731323242,319,7,10,312
